  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  544     0.0080.0160.0240.0420.0420.0420.0420.0420.0420.0420.0240.016
  545     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  551     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  552     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  553     0.0120.0250.0370.0650.0650.0650.0650.0650.0650.0650.0370.025
  554     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  555     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  561     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  562     0.0090.0180.0280.0490.0490.0490.0490.0490.0490.0490.0280.018
  563     0.0100.0200.0310.0540.0540.0540.0540.0540.0540.0540.0310.020
  564     0.0110.0220.0340.0600.0600.0600.0600.0600.0600.0600.0340.022
  565     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  571     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  572     0.0100.0200.0300.0520.0520.0520.0520.0520.0520.0520.0300.020
  573     0.0120.0240.0360.0640.0640.0640.0640.0640.0640.0640.0360.024
  574     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  575     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  581     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  582     0.0100.0200.0300.0530.0530.0530.0530.0530.0530.0530.0300.020
  583     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  584     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  585     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  591     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  592     0.0100.0200.0300.0540.0540.0540.0540.0540.0540.0540.0300.020
  593     0.0120.0240.0370.0650.0650.0650.0650.0650.0650.0650.0370.024
  594     0.0080.0160.0230.0420.0420.0420.0420.0420.0420.0420.0230.016
  595     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  601     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  602     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  603     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  604     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  605     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  611     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  612     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  613     0.0110.0220.0340.0600.0600.0600.0600.0600.0600.0600.0340.022
  614     0.0080.0170.0250.0450.0450.0450.0450.0450.0450.0450.0250.017
  615     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  621     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  622     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  623     0.0120.0240.0370.0650.0650.0650.0650.0650.0650.0650.0370.024
  624     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  625     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  631     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  632     0.0090.0180.0280.0490.0490.0490.0490.0490.0490.0490.0280.018
  633     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  634     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  635     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  641     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  642     0.0090.0180.0260.0470.0470.0470.0470.0470.0470.0470.0260.018
  643     0.0140.0280.0420.0740.0740.0740.0740.0740.0740.0740.0420.028
  644     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  645     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  651     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  652     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  653     0.0140.0280.0410.0730.0730.0730.0730.0730.0730.0730.0410.028
  654     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  655     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  661     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  662     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  663     0.0140.0270.0410.0720.0720.0720.0720.0720.0720.0720.0410.027
  664     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  665     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  671     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  672     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  673     0.0140.0270.0410.0720.0720.0720.0720.0720.0720.0720.0410.027
  674     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  675     0.0070.0140.0220.0390.0390.0390.0390.0390.0390.0390.0220.014
  681     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  682     0.0080.0160.0240.0430.0430.0430.0430.0430.0430.0430.0240.016
  683     0.0120.0250.0370.0670.0670.0670.0670.0670.0670.0670.0370.025
  684     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  685     0.0070.0140.0210.0380.0380.0380.0380.0380.0380.0380.0210.014
  691     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  692     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  693     0.0140.0270.0410.0730.0730.0730.0730.0730.0730.0730.0410.027
  694     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  701     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  702     0.0100.0200.0300.0540.0540.0540.0540.0540.0540.0540.0300.020
  703     0.0100.0210.0310.0560.0560.0560.0560.0560.0560.0560.0310.021
  705     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  721     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  722     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  723     0.0140.0280.0420.0740.0740.0740.0740.0740.0740.0740.0420.028
  725     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
***</IHM_MON_INTERCEP>

  END MON-INTERCEP
